DEELB,VAR001,VAR002,VAR003,VAR004,VAR005,VAR006,VAR007,VAR008,VAR010,VAR012,VAR013,VAR014,VAR015,VAR016,VAR036,VAR037,VAR038,VAR039,VAR040,VAR041,VAR042,VAR043,VAR051,VAR052,VAR055,VAR057,VAR058,VAR059,VAR060,VAR061,VAR062,VAR063,VAR065,VAR092,VAR096,VAR097,VAR098,VAR099,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR113,VAR114,VAR115,VAR117,VAR118,VAR121,VAR122,VAR123,VAR124,VAR125,VAR136,VAR137,VAR138,VAR139,VAR140,VAR142,VAR149,VAR150,VAR151,VAR154,VAR154A,VAR155,VAR156,VAR157,VAR157A,VAR158,VAR159,VAR159A,VAR160,VAR161,VAR162,VAR162A,VAR163,VAR164,VAR165,VAR166,VAR167,VAR171,VAR172,VAR173,VAR174,VAR179,VAR180,VAR181,VAR182,VAR183,VAR184,VAR185,VAR198,VAR200,VAR201,VAR204,VAR205,VAR206,VAR207,VAR208,VAR209,VAR210,VAR211,VAR212,VAR217,VAR218,VAR219,VAR220,VAR222,VAR223,VAR224,VAR225,VAR226,VAR227,VAR228,VAR229,VAR230,VAR231,VAR246,VAR247,VAR248,VAR249,VAR250,VAR251,VAR252,VAR253,VAR254,VAR255,VAR256,VAR257,VAR258,VAR259,VAR260,VAR261,VAR262,VAR263,VAR264,VAR265,VAR266,VAR267,VAR268,VAR269,VAR270,VAR270A,VAR270B,VAR270C,VAR270D,VAR270E,VAR270F,VAR270G,VAR270H,VAR270I,VAR270J,VAR270K,VAR270L,VAR270M,VAR270N,VAR270O,VAR271,VAR272,VAR273,VAR274,VAR275,VAR277,VAR281,VAR282,VAR296,VAR297,VAR299,VAR302,VAR303,VAR318,VAR319,VAR320,VAR321,VAR324,VAR340,VAR341,VAR342,VAR343,VAR347,VAR348,VAR351,VAR353,VAR354,VAR355,VAR357,VAR358,VAR359,VAR360,VAR364,VAR365,VAR366,VAR367,VAR368,VAR379,VAR380,VAR381,VAR382,VAR383,VAR384,VAR385,VAR386,VAR387,VAR388,VAR389,VAR390,VAR406,VAR407,VAR408,VAR409,VAR410,VAR411,VAR412,VAR413,VAR414,VAR415,VAR427,VAR428,VAR430,VAR431,VAR433,VAR434,VAR436,VAR437,VAR439,VAR441,VAR442,VAR443,VAR444,VAR445,VAR446,VAR447,VAR448,VAR449,VAR454,VAR456,VAR457,VAR458,VAR459,VAR460,VAR461,VAR462,VAR489,VAR490,VAR491,VAR493,VAR494,VAR495,VAR496,VAR497,VAR498,VAR499,VAR500,VAR501,VAR502,VAR515,VAR516,VAR519,VAR522,VAR529,VAR530,VAR537,VAR538,VAR540,VAR543,VAR544,VAR545,VAR546,VAR555,VAR556,VAR557,VAR558,VAR559,VAR560,VAR561,VAR562,VAR563,VAR564,VAR565,VAR567,VAR568,VAR569,VAR570,VAR571,VAR572,VAR573,VAR574,VAR575,VAR576,VAR577,VAR578,VAR580,VAR581,VAR582,VAR583,VAR584A,VAR584B,VAR584C,VAR584D,VAR584E,VAR584F,VAR584G,VAR584H,VAR584I,VAR584J,VAR584K,VAR584L,VAR584M,VAR584N,VAR585A,VAR585B,VAR585C,VAR585D,VAR585E,VAR585F,VAR585G,VAR585H,VAR585I,VAR585J,VAR585K,VAR585L,VAR585M,VAR585N,VAR588,VAR589A,VAR589B,VAR589C,VAR589D,VAR589E,VAR589F,VAR592,VAR593,VAR596,VAR599,VAR600,VAR626,VAR627,VAR628,VAR629,VAR630,VAR631,VAR632A,VAR634,VAR635,VAR637,VAR640,VAR643,VAR644,VAR645,VAR646,VAR647,VAR651,VAR652,VAR681,VAR683A,VAR683B,VAR683C,VAR683D,VAR683E,VAR683F,VAR683G,VAR683H,VAR684,VAR701A,VAR701B,VAR701C,VAR701D,VAR701E,VAR701F,VAR701G,VAR701H,VAR701I,VAR701J,VAR701K,VAR702A,VAR702B,VAR702C,VAR703,VAR704,VAR705,VAR706,VAR728A,VAR728B,VAR728C,VAR728D,VAR728E,VAR728F,VAR729A,VAR729B,VAR729C,VAR729D,VAR729E,VAR729F,VAR746,VAR747,VAR748,VAR749,VAR750,VAR751,VAR752,VAR757A,VAR757B,VAR757C,VAR758,VAR759,VAR760,VAR768,VAR805,VAR810,VAR811,VAR813,VAR814,VAR815,VAR816,VAR818A,VAR818B,VAR818C,VAR818D,VAR836,VAR837,VAR838,VAR839,VAR840,VAR842,VAR843,VAR844,VAR845,VAR846,VAR847,VAR854,VAR877,VAR880,VAR901,VAR902,VAR903,VAR904,VAR905,VAR906,VAR907,VAR908,VAR909,VAR910,VAR911,VAR912,VAR913,VAR914,VAR915,VAR916,VAR917,VAR918,VAR919,VAR920,VAR921,VAR922,VAR923,VAR924,VAR925,VAR926,VAR927,VAR928,VAR929,VAR930
1,1,37,3,2,4,3,1,-5,4,2,5,-5,-5,2,1,3,1,1,1,1,4,4,2,3,1,1,1,1,4,1,3,3,1,1,1,1,1,1,2,2,2,1,2,3,1,2,2,1,1,2,1,4,1,5,2,4,2,2,1,1,3,1,1,2,1,2,2,3,2,2,3,3,2,-3,2,3,3,2,2,2,-3,2,3,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,3,2,7,4,2,3,5,4,6,5,4,4,3,3,5,5,3,4,2,3,4,3,6,6,4,4,4,5,6,5,4,3,2,4,4,4,3,5,4,6,5,6,2,2,2,2,1,1,7,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,5,4,4,4,5,5,5,5,3,2,1,2,3,1,1,2,1,1,1,1,1,2,2,1,-5,2,2,1,1,1,1,3,1,3,9,1,3,2,5,1,1,5,5,5,5,5,5,5,1,4,4,5,4,5,5,4,3,2,4,2,4,4,3,3,2,2,2,2,3,-5,1,-5,1,4,1,2,1,1,1,1,5,5,2,1,1,1,1,1,3,2,2,2,2,4,4,4,4,4,3,2,2,-5,3,1,1,2,4,4,4,1,2,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,27,37,7,3,2,400,1,1,1,3,1,3,1,3,-5,4,4,4,3,3,3,3,3,3,3,3,4,5,15,10,5,5,5,5,10,10,5,25,4,5,1,2,2,4,3,2,3,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-5,1,3,1,1,1,2,1,2,3,4,5,2,2,5,4,2,2,3,2,2,1,4,2,2,1,1,2,6,-7,1,37,2,25,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12
1,2,71,2,2,4,2,1,-5,4,1,-5,1,5,2,5,1,1,1,3,2,-5,1,2,4,2,1,1,1,3,1,3,2,2,4,2,2,3,3,2,2,2,2,2,2,4,3,-3,1,2,4,3,5,2,4,3,2,4,2,5,3,-3,1,1,1,-3,4,2,2,2,3,2,-3,2,2,2,2,3,3,2,1,3,2,3,3,2,3,4,2,1,1,1,1,1,2,1,2,1,1,3,1,1,5,1,1,-3,-3,-3,3,2,3,-5,-5,-5,-5,1,1,2,2,2,2,2,3,5,6,2,2,3,4,4,6,5,3,6,5,3,4,5,5,4,5,4,3,4,3,5,2,2,4,4,3,4,2,3,3,4,3,5,3,6,4,4,4,6,2,4,4,4,1,18,2,2,1,1,1,2,2,2,1,1,1,1,1,4,4,4,-3,2,4,2,3,2,2,4,4,4,2,-3,2,1,2,2,1,2,3,3,3,3,3,3,3,3,3,-5,2,2,3,3,2,1,3,3,1,8,2,3,2,3,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,1,3,3,4,4,4,3,2,3,2,1,2,2,3,-5,1,-5,1,3,2,3,1,3,1,1,3,3,3,1,1,1,1,2,4,4,4,2,2,2,2,2,3,2,2,-5,1,2,2,-5,1,2,2,4,4,1,3,2,2,3,3,3,3,3,3,2,4,3,4,3,2,2,4,4,3,4,3,3,3,3,4,3,4,3,3,2,3,4,1,1,1,1,1,1,2,2,2,2,2,2,2,27,37,7,3,2,400,3,1,3,1,-5,-5,-5,-5,1,2,2,2,1,3,2,3,3,1,1,3,2,5,10,10,10,5,5,5,10,10,10,25,0,0,0,3,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,3,3,2,1,3,1,2,1,1,1,2,3,4,-5,-5,3,2,1,2,1,3,2,4,2,4,4,4,4,2,1,2,2,2,2,4,-3,3,2,1,3,6,-7,1,73,2,71,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
1,1,33,3,2,3,1,1,-5,2,3,2,-5,-5,6,5,2,2,2,2,1,5,3,2,3,1,1,1,1,3,1,1,2,2,4,3,3,4,4,4,2,2,2,2,4,1,2,4,2,1,4,3,4,4,5,2,2,4,2,2,2,3,2,1,1,1,1,2,2,2,-3,3,-3,2,-3,3,-3,3,2,3,1,3,1,-3,1,3,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,3,5,6,3,2,1,4,4,7,4,6,2,1,4,3,2,3,4,5,3,3,2,1,3,3,4,4,5,6,6,4,3,3,4,6,6,6,4,2,6,5,4,5,4,4,3,1,1,2,3,1,2,1,1,1,-3,2,2,2,1,2,4,4,2,2,2,-3,2,4,4,2,1,4,2,2,3,2,1,2,2,2,1,3,1,3,2,2,1,2,1,1,-5,2,1,3,3,1,3,2,3,1,9,3,3,2,2,2,2,4,4,4,2,1,2,2,4,2,4,5,5,2,3,2,2,2,4,4,6,3,2,3,2,2,2,2,3,-5,6,5,3,3,2,3,1,2,1,1,5,5,3,1,1,1,1,2,2,4,2,2,4,2,4,2,4,4,2,-5,1,1,2,-5,1,2,2,2,3,1,4,1,4,4,3,2,2,3,3,2,4,3,4,3,2,2,3,4,3,3,3,3,3,3,4,3,4,3,3,2,3,4,1,1,1,1,1,1,2,2,2,2,2,2,2,27,37,7,3,2,400,3,3,3,3,2,-5,1,1,-5,3,3,2,1,2,3,2,3,3,3,3,4,5,15,5,5,5,10,0,20,20,5,10,5,3,2,4,2,2,2,1,1,2,2,3,3,3,2,3,2,3,3,1,2,3,3,2,2,2,1,1,1,1,1,1,2,-5,2,-5,1,1,1,2,1,2,3,4,2,2,2,4,2,2,4,2,2,2,2,4,2,3,1,1,2,6,-7,1,33,2,21,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
1,2,18,1,2,3,2,2,1,2,3,1,1,3,7,5,3,2,2,2,2,-5,2,2,3,1,1,2,1,4,1,1,1,-3,4,2,2,1,2,2,2,2,2,2,1,2,4,2,1,3,-3,5,4,3,5,2,2,4,-3,4,3,3,1,2,2,-3,1,1,3,2,-3,2,2,3,-3,-3,2,-3,2,2,1,3,3,3,1,5,4,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,5,2,2,2,2,2,3,-3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,3,5,6,2,4,4,6,6,6,-3,4,5,3,-3,5,5,3,4,2,2,3,2,6,5,3,4,4,5,4,5,4,-3,3,4,4,4,4,5,4,6,4,6,2,-3,3,3,1,18,20,-3,-3,-6,-6,-6,-6,-6,-3,2,-3,1,2,2,2,2,2,2,2,1,4,4,3,4,4,5,4,2,-3,2,2,3,3,1,3,1,2,-3,2,3,2,1,1,-5,3,2,3,1,1,3,3,1,1,4,3,2,4,5,4,-3,5,-3,5,4,2,2,2,4,2,-3,2,4,5,-3,2,-3,-3,4,3,4,2,2,3,2,2,2,2,3,-5,1,-5,3,3,3,-5,1,1,1,1,4,4,3,1,2,1,1,2,4,4,2,2,4,4,4,4,4,4,3,3,2,-5,3,3,1,3,2,4,3,1,2,3,3,3,3,2,3,3,3,3,4,3,4,3,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,2,2,4,2,2,2,27,37,7,3,2,400,3,1,3,1,-5,-5,-5,-5,1,3,2,4,1,3,3,3,3,3,1,3,1,5,10,10,5,5,10,5,20,15,5,10,7,2,1,2,1,2,2,2,3,3,3,3,3,1,3,3,3,3,3,2,2,2,3,2,2,3,1,1,1,1,1,1,3,4,-5,-5,3,2,3,2,1,2,4,3,2,4,4,5,4,4,4,1,1,2,1,-3,4,2,2,1,2,6,-7,1,25,2,18,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
1,2,29,4,4,3,5,2,4,4,2,1,1,2,6,4,2,1,1,1,1,4,2,2,-3,1,1,2,2,4,1,3,3,-3,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,3,2,4,3,3,1,2,-3,2,2,1,-6,1,1,2,1,4,3,4,-7,3,-3,3,3,-3,3,3,2,-3,2,2,2,-3,2,1,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,3,2,8,6,5,4,5,7,4,6,4,5,6,3,6,6,6,3,1,3,4,2,6,6,3,4,6,5,7,5,7,6,2,1,2,2,2,6,1,7,3,6,2,2,3,2,1,1,1,2,1,3,3,3,3,2,1,1,1,1,2,2,4,2,2,1,4,5,4,4,4,4,5,5,5,3,1,2,2,2,1,1,3,1,2,2,1,1,1,1,1,-5,2,-3,1,1,3,1,3,3,1,9,2,3,3,4,2,4,5,5,5,5,5,5,5,3,5,5,5,2,5,2,4,5,1,4,1,3,1,1,1,2,2,2,2,2,1,1,-5,1,3,1,2,1,1,1,-3,5,5,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,4,3,3,1,2,3,2,1,1,4,4,4,1,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,1,2,2,27,37,7,3,2,400,1,1,1,1,-5,-5,-5,-5,1,2,4,4,3,3,3,3,3,3,3,3,6,5,5,5,5,0,10,0,20,20,5,25,4,4,0,2,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-5,-5,2,2,1,4,1,2,3,4,2,4,1,4,2,3,1,1,1,1,1,4,1,1,1,1,2,6,-7,-7,-7,2,29,1,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2
1,2,49,1,2,4,4,1,-5,3,3,1,1,3,7,4,2,1,1,1,1,5,1,2,4,2,2,1,1,3,1,2,2,-3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,5,-3,-6,-3,3,-3,-3,-3,2,3,1,2,2,2,2,2,2,-3,2,2,3,2,-3,2,-3,2,3,2,3,3,3,1,1,1,1,1,2,2,1,2,1,1,3,1,3,4,1,-3,-3,-3,-3,3,1,1,1,1,1,2,1,1,2,2,2,2,2,3,5,-6,3,2,5,6,4,6,3,5,5,-3,-3,5,6,2,4,3,5,5,4,6,6,2,4,5,-3,4,5,5,-3,2,4,3,3,3,5,4,6,5,5,3,-3,-3,3,1,2,2,2,1,2,1,2,1,2,-3,-3,-3,1,2,4,4,3,-3,4,4,2,2,4,2,2,4,4,4,3,2,1,-3,-3,2,1,2,2,2,2,1,3,2,2,2,-5,2,2,2,3,1,3,3,3,1,9,3,3,3,4,4,2,3,4,4,2,3,2,-3,4,2,2,4,4,3,2,2,2,3,3,3,9,-3,3,3,2,2,2,2,3,-5,1,-5,2,3,2,3,1,1,1,2,4,4,3,1,1,1,2,2,4,4,2,2,2,2,2,2,3,2,2,-5,2,-5,2,-5,2,-5,2,2,2,3,2,2,3,2,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,2,2,2,2,2,2,2,27,37,7,5,9,448,3,3,3,1,-5,-5,-5,-5,1,4,3,3,1,3,3,3,3,3,3,3,1,0,15,5,5,0,10,0,20,20,10,15,3,4,2,3,-3,-3,-3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,1,3,1,2,1,1,1,2,2,4,-5,-5,1,1,1,2,1,2,3,4,-3,-3,4,2,5,2,2,4,2,2,2,4,-3,4,2,1,1,4,-7,1,49,2,49,1,22,1,22,2,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12
1,1,61,1,2,1,7,1,-5,4,1,-5,4,2,5,3,2,1,1,1,1,1,3,-5,-5,2,1,1,1,3,1,3,2,2,3,3,1,1,2,3,4,1,4,2,2,1,2,1,1,1,3,3,4,3,3,-3,4,-3,1,4,2,-5,1,1,-3,2,4,1,2,2,2,2,3,2,2,-3,2,3,1,2,2,3,2,3,1,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,2,5,6,6,6,7,6,6,1,7,7,5,4,4,6,6,3,5,1,3,6,2,7,3,-3,5,4,7,4,4,7,2,1,-3,2,3,3,6,4,6,6,4,7,3,-3,3,1,9,9,2,1,1,1,3,2,2,2,2,1,1,3,4,4,2,2,1,2,5,4,4,4,2,5,5,5,2,2,1,-3,-3,2,2,3,2,2,2,2,1,2,1,1,-5,2,2,3,1,-3,1,3,1,-3,5,2,3,2,4,3,5,5,5,5,2,5,5,5,3,5,5,5,2,5,4,4,3,2,3,2,7,2,3,2,1,1,2,2,3,-5,1,-5,1,5,2,2,1,1,1,1,4,4,3,1,1,1,1,2,4,4,4,4,4,3,-3,2,4,4,2,-5,2,-5,3,3,2,-5,2,5,4,1,2,3,3,2,3,4,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,2,1,2,2,1,1,2,27,37,7,5,9,448,1,1,1,1,-5,-5,-5,-5,2,3,2,4,1,3,3,3,3,-3,-3,3,2,0,10,5,5,0,10,5,15,15,10,25,3,2,5,-3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-5,-5,-5,1,-6,2,2,1,2,3,4,4,4,2,2,5,4,4,2,2,4,2,4,2,2,1,1,1,6,-7,1,61,2,53,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
1,2,38,1,2,4,2,1,-5,1,3,1,1,2,7,3,3,1,1,1,1,4,1,2,3,1,1,1,1,4,1,1,2,1,4,3,2,2,4,4,2,2,2,4,2,2,2,4,2,2,3,3,4,3,4,3,2,2,1,4,3,3,1,1,1,2,4,1,2,2,2,2,3,3,3,3,2,3,2,2,2,3,2,3,1,4,3,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,4,1,1,-3,-3,2,3,1,1,1,1,3,2,3,3,2,2,2,2,1,2,5,4,3,3,5,6,5,5,4,5,5,4,4,5,5,3,4,2,3,5,2,4,6,2,-3,4,5,4,5,7,-3,1,5,3,3,3,6,4,5,5,4,5,3,3,3,1,6,6,2,2,2,1,1,3,2,1,1,1,1,2,2,2,4,2,2,3,4,2,4,2,3,4,4,4,2,2,-3,2,2,1,1,1,1,1,1,1,1,2,1,1,-5,3,2,1,3,1,3,3,3,1,0,1,3,2,4,2,2,4,4,2,4,4,2,2,4,4,4,4,4,2,2,4,5,2,4,2,6,2,3,3,2,1,2,2,3,-5,6,4,1,4,3,-5,1,3,2,2,5,5,3,1,2,1,1,2,2,4,4,2,2,2,4,2,4,2,3,2,2,-5,2,-5,2,-5,2,2,4,1,-3,-3,2,2,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,27,37,7,5,9,448,1,3,3,1,-5,-5,-5,-5,1,2,4,4,1,3,3,3,3,1,1,3,1,0,0,15,0,5,5,0,20,20,10,25,3,4,3,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,1,2,1,1,1,2,3,4,-5,-5,1,2,1,4,1,2,3,4,4,2,4,2,4,2,2,4,2,2,2,4,3,3,2,1,1,6,-7,1,42,2,38,1,14,2,12,1,6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12
1,2,24,1,3,3,3,1,-5,2,3,1,1,3,7,5,3,2,2,4,2,-5,3,2,4,1,-3,1,1,3,-3,3,2,2,3,3,2,3,3,3,2,-3,1,3,2,-3,3,-3,2,2,3,2,4,2,3,2,2,3,2,2,2,3,-3,-3,1,1,2,1,2,-7,-3,2,2,2,2,-3,2,-3,1,-3,2,3,2,-3,2,4,4,2,-3,1,1,1,1,-3,2,2,2,-3,1,2,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,-3,3,5,6,3,2,4,4,-3,6,-3,2,-3,-3,-3,3,6,4,4,2,3,3,5,6,-3,4,2,4,5,6,-3,3,-3,2,4,4,5,2,6,4,4,-3,5,4,-3,2,-3,1,18,1,2,2,2,1,3,-3,2,2,2,-3,-3,-3,-3,2,2,2,3,2,4,3,4,3,3,5,5,4,2,2,-3,2,-6,-3,1,2,-3,-3,2,2,-3,-3,2,2,-5,-3,2,-3,2,-3,3,3,3,1,2,3,3,3,4,3,-3,4,4,3,3,4,3,-3,4,2,4,4,-3,-3,-3,-3,-3,-3,3,-3,4,3,2,4,2,2,2,2,3,-5,1,-5,1,3,2,-3,1,1,1,2,5,5,3,1,2,1,1,3,3,4,2,2,3,2,3,2,3,3,2,-5,2,-5,3,3,2,-5,4,3,3,3,-3,2,-3,3,2,4,3,3,3,2,4,2,4,3,3,3,3,4,2,4,3,3,3,3,4,3,4,3,3,3,3,4,1,1,1,-3,3,-3,3,2,3,3,2,2,2,27,37,7,3,2,400,1,3,-3,1,-5,-5,-5,-5,1,3,4,2,1,3,3,3,3,3,-3,3,1,5,15,10,5,5,10,0,10,10,5,25,5,2,3,3,4,-3,2,3,-3,3,-3,2,3,3,3,3,3,-3,3,1,1,2,1,1,1,2,1,-3,1,1,1,2,2,4,-5,-5,2,-3,1,2,1,2,3,4,-3,2,2,3,5,2,1,3,3,2,-3,-3,3,3,2,1,1,6,-7,1,27,2,24,2,4,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
1,2,28,3,3,3,5,2,3,2,3,1,1,1,-5,5,3,1,1,1,1,5,4,-3,-3,1,1,1,1,3,-3,3,3,-3,3,3,2,4,3,4,2,3,2,2,3,4,2,4,2,2,3,3,4,3,4,1,2,5,4,2,3,-6,1,1,1,1,2,3,3,-3,2,2,3,3,2,3,2,2,2,1,2,3,3,2,2,4,-3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,3,3,3,-5,-5,-5,-5,1,1,2,2,2,2,2,1,2,8,2,6,6,2,6,6,6,6,1,1,4,4,4,3,4,2,2,6,4,4,6,4,4,3,5,6,6,7,4,3,3,-3,4,6,3,3,4,5,4,6,3,3,2,1,1,1,3,2,3,1,1,1,3,2,2,2,1,2,3,4,2,2,1,5,2,3,4,4,4,5,5,2,3,1,2,1,2,2,1,3,1,2,2,2,3,1,1,1,-5,2,2,3,1,-3,1,3,3,1,7,2,3,4,2,3,4,3,5,2,3,4,3,3,5,3,3,4,4,3,2,4,2,2,4,3,4,2,2,2,2,2,2,2,3,-5,1,-5,1,3,2,3,1,2,1,2,5,5,2,1,2,1,2,3,4,3,3,3,2,4,4,4,2,2,3,2,2,-5,3,2,1,3,2,4,4,3,2,2,4,4,3,4,3,3,3,3,4,2,3,3,2,1,3,3,3,4,3,3,3,3,4,2,3,3,3,2,3,4,2,1,1,1,1,1,1,2,2,3,1,2,2,27,37,7,3,2,400,1,1,1,1,-5,-5,-5,-5,1,1,5,4,1,3,3,3,3,3,1,3,6,10,10,10,0,0,0,10,20,20,10,10,3,5,2,3,2,4,3,2,3,3,3,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,-5,-5,2,1,1,1,1,2,3,4,2,4,3,4,4,2,2,1,1,2,1,3,3,2,1,1,2,6,-7,-7,-7,2,28,2,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2
1,2,33,1,3,3,2,2,1,-3,3,1,1,3,7,3,3,1,2,3,2,-5,1,-3,4,2,1,1,1,4,1,3,3,1,4,3,2,4,4,2,2,2,2,2,1,2,2,4,1,1,4,3,5,1,4,1,1,4,2,2,2,2,1,1,2,1,3,1,2,-3,3,-3,3,3,-3,-3,3,3,2,3,2,3,2,3,1,4,5,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,5,1,1,2,1,1,1,1,1,-5,-5,-5,-5,2,1,1,1,1,1,1,6,3,4,2,2,2,2,2,6,6,6,2,6,-3,2,6,2,2,2,2,6,2,6,6,2,2,2,4,6,6,6,-3,2,2,2,-3,6,6,6,6,6,6,2,2,2,1,3,-5,22,3,3,-6,-6,-6,-6,-6,1,1,1,1,2,2,3,2,2,5,4,4,2,2,2,4,4,4,4,3,1,2,1,-6,2,1,2,1,2,2,2,1,2,2,1,-5,3,1,2,1,1,1,3,3,1,2,3,3,2,2,2,2,2,5,1,1,1,2,2,1,5,5,5,5,5,4,4,3,3,2,3,4,2,1,3,1,2,2,2,3,-5,1,-5,1,3,2,3,1,3,2,2,2,5,5,1,3,-3,2,2,4,4,2,2,2,4,4,4,4,4,2,-5,1,2,2,-5,1,1,4,4,4,1,2,2,2,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,1,1,1,1,1,1,1,2,2,4,2,2,2,27,37,7,3,2,400,1,1,1,1,-5,-5,-5,-5,1,2,1,2,3,3,2,3,3,3,3,3,1,5,20,5,5,0,15,0,10,10,10,20,4,4,2,1,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,2,-3,1,1,2,2,4,-5,-5,1,1,1,4,2,1,3,4,3,5,2,5,2,4,4,2,2,1,1,2,1,1,2,1,1,6,-7,1,35,2,33,2,6,2,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1
