RESPNR	VAR001	VAR002	VAR003	VAR006	VAR007	VAR008	VAR009	VAR010	VAR012	VAR013	VAR014	VAR015	VAR016	VAR017	VAR018	VAR019	VAR030	VAR031	VAR032	VAR033	VAR036	VAR037	VAR038	VAR039	VAR040	VAR041	VAR042	VAR046	VAR047	VAR048	VAR049	VAR050	VAR051	VAR052	VAR053	VAR054	VAR055	VAR056	VAR058	VAR059	VAR060	VAR061	VAR062	VAR064	VAR066	VAR093	VAR094	VAR095	VAR096	VAR100	VAR101	VAR102	VAR103	VAR105	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR126	VAR127	VAR128	VAR129	VAR130	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR137	VAR138	VAR139	VAR140	VAR141	VAR142	VAR143	VAR144	VAR145	VAR146	VAR147	VAR148	VAR149	VAR150	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR159	VAR159A	VAR160	VAR161	VAR162	VAR162A	VAR165	VAR166	VAR167	VAR168	VAR169	VAR170	VAR171	VAR175	VAR179	VAR180	VAR181	VAR182	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR222	VAR223	VAR224	VAR225	VAR226	VAR227	VAR228	VAR229	VAR231	VAR233	VAR234	VAR235	VAR271	VAR272	VAR273	VAR274	VAR275	VAR340	VAR342	VAR343	VAR347	VAR351	VAR357	VAR358	VAR359	VAR360	VAR365	VAR366	VAR402	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR433	VAR445	VAR462	VAR486	VAR488	VAR489	VAR490	VAR491	VAR495	VAR496	VAR497	VAR498	VAR499	VAR500	VAR515	VAR516	VAR544	VAR546	VAR547	VAR551	VAR555	VAR556	VAR557	VAR558	VAR559	VAR560	VAR561	VAR562	VAR563	VAR564	VAR565	VAR566	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR575	VAR576	VAR578	VAR583	VAR586	VAR587	VAR588	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR593	VAR594	VAR596	VAR599	VAR600	VAR629	VAR630	VAR631	VAR632A	VAR633	VAR634	VAR635	VAR636	VAR637	VAR638	VAR639	VAR640	VAR643	VAR644	VAR645	VAR646	VAR647	VAR648	VAR651	VAR652	VAR653	VAR677	VAR678	VAR681	VAR682	VAR683A	VAR683B	VAR683C	VAR683D	VAR683E	VAR683F	VAR683G	VAR683H	VAR684	VAR686	VAR687	VAR688	VAR689	VAR698	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR753	VAR758	VAR759	VAR790A	VAR790B	VAR790C	VAR790D	VAR790E	VAR790F	VAR790G	VAR790H	VAR790I	VAR790J	VAR790K	VAR790L	VAR790M	VAR790N	VAR791	VAR805	VAR806	VAR807	VAR808	VAR812	VAR813	VAR814	VAR815	VAR816	VAR818A	VAR818B	VAR818C	VAR818D	VAR819	VAR820	VAR821A	VAR821B	VAR821C	VAR821D	VAR821E	VAR821F	VAR821G	VAR821H	VAR821I	VAR821J	VAR822A	VAR822B	VAR822C	VAR822D	VAR822E	VAR822F	VAR822G	VAR822H	VAR822I	VAR822J	VAR823	VAR824	VAR825	VAR826	VAR827	VAR828	VAR829	VAR830	VAR831	VAR832	VAR833	VAR834	VAR835A	VAR835B	VAR836	VAR837	VAR838	VAR839	VAR840	VAR841	VAR842	VAR843	VAR844	VAR845	VAR846	VAR847	VAR848	VAR849	VAR850	VAR851	VAR852	VAR853	VAR854	VAR855	VAR856	VAR857	VAR858	VAR859	VAR860	VAR861	VAR862	VAR863	VAR864	VAR865	VAR866	VAR867	VAR868	VAR869	VAR870	VAR871	VAR872	VAR873	VAR874	VAR875	VAR876	VAR877	VAR878	VAR879	VAR880	VAR881	VAR882	VAR883	VAR884	VAR885	VAR886	VAR887	VAR888	VAR889	VAR890	VAR891	VAR892	VAR893	VAR894	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	OCT462
1458	2	34	1	2	1	-5	-6	1	3	1	1	3	8	-6	2	1	1	1	1	2	4	2	1	2	2	1	6	1	1	3	1	2	2	4	1	1	-3	2	1	1	3	1	3	-3	4	1	-6	2	4	5	2	4	2	4	4	1	4	5	2	2	2	2	2	2	2	2	2	2	1	1	3	1	1	1	1	1	2	1	1	2	1	3	1	1	2	1	1	3	2	2	2	2	2	3	1	1	1	2	1	3	3	4	1	2	-3	-3	1	1	1	1	1	2	1	1	3	1	-5	-5	1	2	2	2	2	2	3	1	1	2	1	3	3	2	1	1	4	2	3	1	5	4	4	5	4	1	-3	4	2	2	2	1	1	3	3	1	1	4	4	7	2	4	2	1	2	2	2	3	-5	1	-5	1	2	1	1	3	3	2	5	4	2	2	1	2	4	3	4	2	4	2	-5	2	-5	3	2	3	3	2	2	4	2	2	2	1	1	1	1	1	1	1	3	2	4	4	4	2	2	8	1	1	599	3	3	3	1	1	1	1	1	-5	-5	-5	-5	1	3	3	3	9	4	1	-3	2	1	3	3	3	3	1	1	3	1	3	1	1	1	2	3	1	3	1	3	2	3	3	3	3	3	3	2	1	1	7	3	1	1	2	5	1	2	1	1	3	2	2	2	2	1	2	2	4	3	1	1	1	1	1	2	3	4	1	1	4	2	2	4	4	5	1	2	2	2	2	2	1	4	4	5	1	2	2	2	2	3	2	2	2	3	3	3	3	1	1	2	1	-5	2	1	4	4	2	5	4	2	1	1	2	1	1	2	4	4	5	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	3	3	2	3	3	4	2	4	3	4	1	3	3	3	2	3	3	2	1	2	6	0	1	34	2	34	2	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1459	2	36	4	2	1	-5	-5	-3	3	1	1	3	7	-5	-6	1	1	1	1	1	6	3	-6	2	-6	2	-5	1	1	-6	-6	2	-3	2	-3	2	2	1	1	1	1	1	3	2	-5	3	2	1	2	-6	2	2	2	2	-6	2	-6	2	-6	2	2	1	1	1	1	1	1	1	1	1	-3	1	1	1	1	3	1	3	1	2	1	4	2	2	-6	-7	1	2	2	2	1	2	2	3	3	1	1	3	3	3	3	3	1	2	2	-6	1	2	-6	-6	2	2	-6	1	1	1	-5	-5	-6	2	2	2	2	2	5	8	2	2	2	-3	3	3	3	-5	2	3	2	2	2	3	4	2	2	2	-3	4	3	1	3	3	1	3	1	1	1	4	2	4	2	4	3	2	5	2	2	3	-5	1	-5	3	-5	1	1	3	3	2	-6	3	4	-6	2	4	4	2	4	3	-6	3	2	2	-5	2	-5	1	2	2	2	3	1	2	2	2	1	1	1	1	1	4	3	2	2	4	2	2	2	8	1	1	599	4	3	3	1	1	1	-3	1	-5	-5	-5	-5	1	4	4	2	10	2	1	2	2	-6	-6	2	3	3	1	1	3	4	4	1	1	1	2	2	3	2	3	2	3	1	3	1	3	1	3	3	1	-6	1	1	1	1	2	4	1	1	1	2	2	3	3	2	3	2	-5	-5	4	4	1	-7	1	3	1	2	3	4	1	1	2	2	2	4	2	2	2	4	2	2	2	2	2	4	2	2	4	3	2	2	2	2	4	2	2	2	4	1	1	2	4	1	2	2	2	2	4	4	4	3	4	2	4	4	4	2	2	2	2	2	4	3	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	1	1	2	2	2	2	2	2	-6	3	3	3	4	3	1	2	2	1	1	3	1	2	2	1	1	0	0	0	2	36	1	18	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
91459	1	18	3	2	2	1	2	-5	3	3	-5	-5	8	7	-5	1	2	2	2	2	3	3	2	2	4	2	-5	1	1	2	-6	2	2	4	-6	-6	1	-5	1	1	2	1	3	2	-5	3	2	1	2	2	2	-3	2	-6	-6	2	-6	3	3	-3	4	2	2	2	2	1	2	1	1	1	3	1	2	1	1	2	1	3	5	2	1	2	-5	1	2	2	2	2	1	2	1	2	1	3	3	1	1	3	2	3	3	2	1	-3	2	1	1	1	2	-6	2	1	-6	1	-6	1	-5	-5	1	2	2	2	2	2	3	8	2	1	2	-3	2	3	3	-5	-3	-3	2	4	2	2	4	2	2	2	-3	2	3	1	-6	3	-6	1	-6	3	1	4	4	3	3	4	3	2	5	2	2	3	-5	1	-5	3	-5	1	1	3	3	-6	-6	4	4	-6	2	4	3	2	4	3	4	-6	-5	2	-5	-3	-5	1	3	4	2	3	-6	2	-6	3	1	1	1	1	1	4	3	-6	2	4	2	2	2	8	1	1	599	4	-3	1	3	1	1	-5	3	2	-5	3	-5	-5	4	4	2	2	2	2	4	2	-6	3	2	3	3	1	1	3	4	4	1	2	1	2	2	3	2	3	2	3	1	3	1	3	1	3	3	-6	1	2	1	1	1	1	2	2	1	1	1	1	3	2	2	2	-5	2	4	4	4	3	-7	1	2	1	3	2	4	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	4	1	1	-5	-3	2	4	4	4	2	4	2	4	4	2	2	2	2	4	4	4	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	1	2	1	-6	2	3	2	2	2	4	-6	-6	3	3	3	3	-5	-5	-5	-5	-5	-5	2	3	1	1	0	0	0	2	36	1	18	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1461	2	20	3	7	2	6	7	-5	3	1	7	-5	-5	7	-5	1	1	1	1	1	4	2	1	1	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-6	1	-5	1	1	-6	1	3	1	-5	2	3	2	2	2	4	4	2	4	2	2	2	3	3	1	2	2	2	2	1	1	1	2	1	1	-5	1	1	1	1	1	1	1	1	2	2	1	-5	2	2	2	1	3	1	2	1	3	2	3	1	2	-6	3	1	3	3	2	1	1	1	2	2	1	2	1	2	2	1	1	2	1	-5	-5	1	2	2	2	2	2	5	6	1	1	1	3	3	3	1	6	4	4	4	2	4	3	4	4	4	-6	2	4	2	2	3	1	3	3	3	3	1	2	2	3	2	4	3	2	1	1	2	3	-5	1	-5	2	2	2	2	1	3	2	3	4	2	2	2	4	3	2	4	4	4	2	-5	3	2	2	-5	3	2	2	2	3	2	2	1	1	1	1	1	2	1	3	3	2	4	4	4	2	2	8	1	1	599	4	3	2	1	3	1	-5	1	-5	-5	-5	-5	2	-6	3	4	9	2	1	4	2	-6	3	2	3	3	3	1	3	4	2	2	-5	2	3	3	3	3	3	1	3	-6	3	3	3	3	3	2	1	-6	5	1	1	1	1	1	1	1	1	1	5	7	3	5	3	-5	-5	-5	4	4	2	-7	1	2	1	3	2	4	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	2	1	1	-5	4	2	4	4	2	4	4	2	3	3	3	3	4	4	3	3	4	-3	2	3	2	2	2	2	1	2	1	2	1	2	-6	2	2	1	1	2	2	1	1	2	3	2	4	2	2	2	2	3	3	3	4	-6	1	3	-6	-6	-6	-6	-6	1	1	1	6	0	0	0	2	49	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1462	2	72	5	1	1	-5	-5	1	1	-5	-6	1	-5	-5	8	1	1	1	1	1	4	1	1	-6	1	2	-5	-3	2	2	4	2	2	4	-3	1	2	1	2	2	-6	-6	3	-6	-5	3	1	2	3	2	2	2	2	2	2	2	2	3	2	3	4	2	2	2	2	2	2	2	2	2	3	1	1	1	1	1	4	1	1	-6	-6	2	-5	-6	4	2	1	2	2	2	2	2	2	2	1	1	1	2	1	2	2	3	-3	-3	2	1	1	1	1	1	1	2	2	1	1	1	-5	-5	1	2	2	2	2	-3	3	6	2	-3	2	3	3	1	1	-6	3	2	2	2	5	2	5	5	2	-3	2	3	3	1	3	1	3	2	3	1	3	2	4	3	3	1	3	2	3	2	2	3	-5	1	-5	3	-5	2	1	-6	-6	2	2	4	3	2	3	3	4	3	3	4	4	3	-6	-6	-5	3	1	3	1	1	2	3	2	2	2	1	2	2	3	3	3	4	3	-3	4	4	4	2	2	8	1	1	599	4	1	3	3	1	3	1	1	-5	-5	-5	-5	1	3	1	-5	10	1	1	2	2	1	2	1	2	2	1	1	3	5	4	1	1	1	2	2	1	3	1	2	2	1	2	3	2	1	1	2	-3	-3	5	1	3	3	1	3	1	1	1	1	1	1	1	1	2	4	-5	-5	-5	4	-6	-7	2	2	1	2	4	3	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	3	1	2	2	-3	2	2	2	4	5	2	2	3	3	3	3	2	5	2	-3	5	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	-3	-3	-3	3	2	2	3	2	2	2	2	3	3	3	3	2	-5	-5	-5	-5	-5	-5	2	1	2	6	0	0	0	2	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1471	2	40	4	7	2	6	-5	7	3	3	-5	-5	-6	-5	5	2	1	2	2	2	1	3	1	1	1	1	9	-6	-6	-6	-6	-6	-6	-6	-6	-3	1	-5	1	2	4	1	3	2	-5	3	3	2	2	1	2	3	-6	2	1	-6	2	-6	1	2	2	2	-3	2	1	1	1	2	2	2	2	1	1	1	1	1	3	1	1	2	2	1	2	2	3	3	1	2	2	2	2	-3	2	3	1	2	2	3	2	4	4	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	-5	-5	1	2	2	2	2	2	2	6	2	2	2	2	2	2	1	1	3	2	3	2	5	4	5	5	5	-3	2	3	2	2	3	1	3	1	3	-3	-3	2	2	6	3	2	2	2	2	2	1	1	1	1	-5	2	2	2	1	3	4	-6	-6	3	3	-6	2	1	4	4	4	4	5	3	1	3	2	3	2	2	-5	2	4	2	4	1	2	1	2	2	2	2	2	3	2	1	2	2	3	2	1	8	1	1	599	5	1	1	3	-3	-3	1	3	-6	-5	-6	-5	-5	4	4	3	8	1	2	3	2	3	3	3	3	3	3	3	3	4	3	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	13	1	2	3	1	1	1	1	5	1	1	1	1	1	2	-5	-5	-5	5	-6	2	-7	2	2	1	2	3	4	1	1	2	2	2	4	2	5	1	3	2	1	2	2	3	4	5	5	1	3	2	1	2	3	1	4	2	4	3	1	1	3	3	2	1	-5	2	4	5	5	2	5	4	4	2	1	3	2	4	2	4	3	5	4	2	3	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	2	2	3	-6	2	3	4	3	2	4	2	-5	-5	-5	-5	-5	-5	1	1	1	6	0	0	0	2	40	1	15	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1472	2	49	1	5	2	-6	5	3	2	3	-5	-5	7	-6	6	-6	1	1	1	1	5	2	1	-6	2	2	-5	1	1	3	2	2	-3	4	1	2	-3	2	1	1	2	-6	3	2	-5	2	3	2	2	3	4	4	2	-6	4	2	4	-6	3	3	3	2	2	2	2	2	2	2	2	2	-6	1	1	1	1	1	3	1	1	1	1	-6	4	-6	-6	3	2	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	3	-3	2	-3	1	2	2	-6	2	2	2	1	1	-6	1	-5	-5	3	1	2	2	2	2	2	6	1	1	-3	-6	-6	-6	-6	-6	4	3	4	2	4	2	4	4	3	2	1	2	-6	-6	-6	3	1	-6	-6	-6	1	5	4	6	-6	-6	-6	-6	2	2	2	3	-5	1	-5	1	3	1	2	-6	2	-6	3	4	-6	3	-6	2	-6	4	-6	3	2	-6	-5	-6	-5	-6	-5	-6	-5	2	-6	-6	-6	-6	-6	-6	-6	1	1	-6	1	4	-6	-6	4	4	4	2	2	8	1	1	599	5	-6	3	1	3	1	1	2	2	-5	3	-5	-5	3	3	3	2	2	2	4	4	3	-6	2	2	3	3	3	3	1	3	1	1	1	-3	3	1	3	1	3	3	3	2	3	2	-6	3	2	2	2	1	9	1	1	1	1	1	1	1	1	7	7	1	1	3	-5	2	4	1	2	-6	-6	1	1	1	3	2	4	2	1	1	-6	-6	-6	1	4	2	-6	-6	2	1	1	1	4	2	-6	-6	4	-6	-6	5	1	2	1	2	5	3	1	1	1	-6	-6	-6	-6	2	1	4	-3	4	4	4	1	4	4	1	1	1	4	3	-3	4	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	-6	-6	-6	-6	-6	2	5	2	1	3	5	1	-6	-6	-6	2	3	3	2	2	1	3	0	1	50	2	49	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
91472	1	16	3	6	2	1	6	-5	1	-5	7	-5	-5	7	-5	1	1	1	1	2	5	2	1	1	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	1	-5	1	1	3	2	1	1	-5	1	4	2	2	2	4	4	2	4	4	2	-6	4	2	3	4	2	2	2	2	2	1	2	2	2	-5	1	1	1	1	1	2	1	1	1	1	1	-5	-3	-6	-6	-3	3	1	1	1	2	1	3	1	1	1	3	1	3	3	4	-3	-3	2	1	2	1	1	2	2	2	1	1	1	1	-5	-5	1	2	2	2	2	2	-6	6	2	1	1	3	3	3	3	-5	5	4	5	2	2	3	3	4	4	2	1	3	-6	-3	3	3	1	3	3	3	1	5	3	6	1	4	2	1	2	2	2	3	-5	1	-5	1	3	1	2	2	1	2	4	-6	4	4	4	2	2	4	4	4	4	2	-5	1	2	2	-5	3	2	2	2	1	3	2	-6	1	1	1	1	1	1	1	3	2	4	5	2	2	2	8	1	1	599	5	3	3	-6	3	1	-5	1	-5	-5	-5	-5	2	3	3	3	10	2	2	3	3	3	2	2	2	3	3	3	3	6	3	1	2	1	3	3	1	3	1	3	3	3	2	3	2	3	3	2	2	-6	1	6	1	1	1	1	2	1	1	1	6	10	1	1	3	-5	2	-5	1	2	3	-7	1	1	1	2	3	4	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	2	1	-5	3	1	5	3	2	3	5	3	-3	-6	5	3	1	3	3	5	5	4	3	3	2	2	2	-6	2	-6	2	2	2	-6	-6	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	5	2	1	3	5	-6	-6	-6	1	1	-6	-6	2	3	1	3	0	1	50	2	49	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1473	2	63	5	3	2	1	-5	2	1	-5	1	2	7	-5	2	1	1	1	1	2	5	2	-6	2	2	1	6	1	2	3	3	2	2	-6	1	1	-3	-3	1	1	3	1	-6	1	-5	1	4	2	2	4	4	4	1	4	2	1	2	-6	2	2	-6	-6	-6	2	2	2	2	1	1	2	-6	1	1	1	1	1	3	2	1	2	2	3	-5	2	3	2	1	2	1	1	1	2	1	-6	-6	-6	-6	-6	-6	-6	4	-6	-6	-6	-6	2	-6	-6	-6	-6	-6	-6	-6	-6	-6	1	-5	-5	-6	2	2	2	2	2	2	-6	1	1	1	3	3	3	1	18	4	-6	4	1	2	1	4	4	2	2	1	2	2	2	-6	2	-3	2	3	3	-6	4	4	3	2	1	1	1	3	2	2	3	-5	1	-5	2	3	-3	2	2	-6	-6	-6	1	-6	2	2	3	4	4	3	3	2	-6	-5	3	-6	-6	-5	-6	-5	2	2	-6	2	1	-6	1	1	1	1	1	1	4	3	2	-3	4	4	2	2	8	1	1	599	5	3	1	3	3	1	2	1	-5	-5	-5	-5	1	3	3	4	9	4	1	4	4	3	2	2	2	3	3	3	3	5	4	1	-6	1	1	3	1	3	1	3	-6	3	2	3	2	1	3	-3	2	2	1	1	1	1	-6	1	1	1	1	1	1	-6	1	-6	2	4	-3	-3	-3	2	1	-6	1	-6	1	2	3	4	-6	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	4	1	-6	-6	4	2	-3	3	3	4	-3	2	3	2	-3	2	2	4	2	5	5	-6	3	2	2	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	1	1	1	2	1	3	3	-6	-6	2	1	4	4	4	-6	1	3	3	3	3	3	-6	1	1	1	6	0	0	0	2	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1474	2	56	1	7	1	-5	7	7	1	-5	1	1	-5	1	6	1	1	-6	1	2	3	1	1	1	1	1	1	1	-6	-6	-6	-6	-6	-6	-6	1	2	2	1	1	3	2	3	-6	-5	2	3	2	5	4	4	4	4	5	4	1	5	5	1	3	2	1	1	2	2	1	1	2	1	1	-6	1	1	1	-3	1	4	1	1	1	1	1	-5	1	2	-7	2	2	1	-3	-6	-3	1	2	1	1	1	3	1	4	4	3	-6	-6	-3	2	2	2	1	2	2	2	2	2	2	2	4	2	2	1	2	2	-3	1	-6	-6	1	1	1	4	5	3	1	6	4	4	4	4	3	2	4	4	2	-6	2	2	-3	-3	2	3	1	3	1	3	1	2	5	8	1	1	2	2	1	2	2	1	6	1	-5	3	-5	1	3	2	1	4	4	4	4	5	3	1	3	-6	2	2	4	3	1	3	2	3	2	3	2	1	2	3	2	2	2	1	1	1	-3	2	1	4	3	2	4	4	4	2	2	8	1	1	599	5	3	3	1	3	1	5	1	-5	-5	-5	-5	1	2	3	3	6	1	1	4	2	1	2	-3	2	2	1	1	-6	2	2	1	1	1	3	2	1	2	1	-3	2	1	2	3	2	-3	1	-3	2	-3	1	2	1	1	1	6	1	3	1	1	1	3	1	3	2	4	-5	-5	1	4	1	-6	1	1	1	3	2	4	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	2	1	1	-5	1	-3	4	3	5	5	1	2	3	3	3	2	1	5	2	3	3	3	2	3	2	2	-6	2	-6	-6	-6	-6	-6	2	-6	2	2	2	2	2	1	2	1	2	2	2	2	2	3	3	2	-6	3	2	3	-3	1	3	-6	3	-6	-6	3	2	1	1	6	0	1	59	2	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
1475	1	63	1	3	1	-5	-5	1	1	-5	4	2	7	-5	7	-6	1	2	1	2	6	1	2	1	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	2	-6	1	1	3	-3	3	-6	-5	3	2	1	4	3	2	4	2	5	3	5	4	3	4	3	2	2	2	2	2	2	2	2	2	2	-5	1	1	1	-3	-6	2	1	1	2	1	3	-5	1	2	2	1	2	-6	-6	2	-6	-6	3	1	1	1	3	1	3	3	3	1	2	-6	2	2	1	1	2	2	2	1	-6	3	3	5	1	1	2	2	2	2	2	2	6	1	1	-3	3	3	3	1	6	4	4	-6	4	4	1	-6	4	4	-6	1	3	2	2	3	3	1	-6	-6	-6	-6	5	5	6	2	1	2	-3	1	2	2	3	-5	1	-5	2	3	-6	2	-6	3	4	4	4	3	5	3	2	4	4	2	3	3	3	-6	3	1	3	2	3	2	1	2	1	1	2	2	3	1	1	1	1	1	-6	3	2	4	4	4	2	2	8	1	1	599	5	3	3	1	3	1	1	1	-5	-5	-5	-5	2	-6	-6	-6	10	4	-6	2	4	1	2	2	-6	2	3	1	3	2	3	1	1	-6	3	2	1	3	1	3	2	3	2	3	2	-6	1	-3	2	2	3	2	1	1	1	3	1	1	3	1	2	2	1	1	3	-5	-6	-6	-6	3	3	2	1	1	1	2	4	3	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	3	4	1	-5	5	1	5	-3	5	5	1	1	2	2	-6	2	5	5	4	2	-6	-3	2	2	2	-6	1	-6	1	-6	2	1	1	-6	-6	-6	2	1	-6	-6	-6	2	-6	-6	-6	3	-6	-6	-6	-6	-6	2	-6	-6	-6	-6	3	-5	-5	-5	-5	-5	-5	1	1	1	6	0	1	63	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1476	2	67	1	1	1	-5	1	1	1	-5	1	3	9	9	9	1	1	2	-6	-6	5	2	2	2	3	2	-5	1	2	-6	-6	-6	-6	-6	-6	1	2	-3	1	1	3	1	3	2	-5	2	3	2	3	4	-3	4	2	4	2	2	2	5	4	3	2	2	1	1	2	2	2	1	1	2	-6	2	1	2	1	1	4	2	2	2	1	2	-5	2	3	2	1	3	-3	-3	-6	-3	-3	-6	1	1	1	-6	-6	5	5	2	2	2	-6	1	-3	-6	1	1	-3	-6	-6	-6	2	2	5	2	1	2	2	2	2	-6	3	4	2	-6	1	-3	-3	2	1	1	4	-3	2	2	4	2	2	4	2	-3	1	2	3	1	3	3	3	-6	3	3	1	4	4	3	3	1	2	2	5	2	2	3	-5	1	-5	2	3	3	3	-6	3	3	4	4	2	4	2	-6	4	4	4	4	4	2	-5	1	3	2	-5	1	3	2	2	1	1	-3	-3	1	1	1	1	1	-6	4	-3	2	3	4	4	2	2	8	1	1	599	5	-3	3	1	-6	-3	1	1	-5	-5	-5	-5	1	2	3	3	9	5	1	4	4	1	2	2	2	2	1	1	-6	2	4	1	1	-6	3	2	1	-6	1	3	2	1	2	3	2	2	1	2	3	3	11	1	1	1	1	5	1	1	1	1	1	1	1	1	-6	4	-5	-5	-5	4	1	-6	1	1	1	3	2	4	-3	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	4	3	2	-6	1	2	-6	4	-3	4	2	4	2	2	-3	2	1	1	1	2	4	2	4	2	-6	-6	-6	-6	-6	2	-6	-6	-6	-6	-6	-6	-6	1	1	2	2	2	1	1	2	1	3	3	2	2	2	-6	5	5	5	5	3	-5	-5	-5	-5	-5	-5	2	1	1	6	0	1	73	2	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
