RESPNR	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR629	VAR630	VAR631	VAR632A	VAR633	VAR001	VAR002	VAR003	VAR004	VAR005	VAR006	VAR007	VAR008	VAR009	VAR010	VAR012	VAR013	VAR014	VAR015	VAR016	VAR017	VAR018	VAR640	VAR647	VAR641	VAR642	VAR643	VAR644	VAR645	VAR646	VAR046	VAR047	VAR048	VAR049	VAR050	VAR051	VAR052	VAR053	VAR054	VAR055	VAR648	VAR651	VAR652	VAR030	VAR031	VAR032	VAR033	VAR036	VAR037	VAR038	VAR039	VAR040	VAR041	VAR042	VAR685A	VAR685B	VAR685C	VAR685D	VAR685E	VAR685F	VAR685G	VAR685H	VAR685I	VAR685J	VAR685K	VAR685L	VAR685M	VAR058	VAR059	VAR060	VAR061	VAR653	VAR093	VAR094	VAR095	VAR096	VAR100	VAR101	VAR103	VAR105	VAR107	VAR109	VAR110	VAR111	VAR114	VAR116	VAR118	VAR121	VAR122	VAR124	VAR125	VAR126	VAR019	VAR127	VAR128	VAR129	VAR130	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR137	VAR138	VAR139	VAR140	VAR141	VAR142	VAR143	VAR144	VAR145	VAR146	VAR147	VAR148	VAR149	VAR150	VAR151	VAR152	VAR153	VAR154	VAR155	VAR156	VAR157	VAR157A	VAR154A	VAR159	VAR160	VAR161	VAR162	VAR162A	VAR159A	VAR165	VAR166	VAR167	VAR171	VAR172	VAR173	VAR174	VAR179	VAR180	VAR181	VAR182	VAR183	VAR184	VAR185	VAR188	VAR198	VAR201	VAR204	VAR222	VAR223	VAR224	VAR225	VAR226	VAR227	VAR228	VAR229	VAR230	VAR231	VAR233	VAR234	VAR235	VAR654	VAR655	VAR656	VAR657	VAR658	VAR659	VAR660	VAR661	VAR662	VAR663	VAR664	VAR665	VAR666	VAR667	VAR668	VAR669	VAR670	VAR671	VAR672	VAR673	VAR674	VAR675	VAR676	VAR677	VAR678	VAR679A	VAR679B	VAR679C	VAR679D	VAR679E	VAR679F	VAR679G	VAR679H	VAR679I	VAR680A	VAR680B	VAR680C	VAR680D	VAR680E	VAR680F	VAR680G	VAR680H	VAR271	VAR272	VAR273	VAR342	VAR343	VAR347	VAR357	VAR358	VAR359	VAR360	VAR681	VAR682	VAR406	VAR407	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR683A	VAR683B	VAR683C	VAR683D	VAR683E	VAR683F	VAR683G	VAR683H	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR430	VAR431	VAR434	VAR437	VAR439	VAR454	VAR456	VAR491	VAR495	VAR496	VAR274	VAR275	VAR497	VAR498	VAR499	VAR500	VAR515	VAR516	VAR544	VAR546	VAR547	VAR649A	VAR649B	VAR649C	VAR649D	VAR649E	VAR649F	VAR649G	VAR649H	VAR649I	VAR649J	VAR649K	VAR649L	VAR649M	VAR649N	VAR649O	VAR649P	VAR649Q	VAR649R	VAR649S	VAR462	VAR684	VAR686
91298	2	3	3	3	0	1	44	2	42	2	19	1	17	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	1	17	3	2	1	5	1	-5	2	-5	3	1	6	-5	-5	8	-5	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	1	2	3	3	1	1	2	2	4	3	1	2	3	2	-5	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	3	1	3	2	3	2	3	2	2	2	3	4	1	2	4	2	2	3	4	4	4	1	2	1	2	1	2	2	2	1	2	-6	2	-5	1	1	2	1	1	2	1	1	1	1	2	-5	-3	-6	-6	-6	-3	-3	-3	-3	-3	-3	-3	3	2	1	3	1	1	3	3	3	-3	-3	1	-3	1	2	2	2	2	1	1	7	1	1	-5	2	1	2	2	2	2	2	2	3	6	1	1	1	3	0	3	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	0	3	3	3	3	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	1	0	0	1	0	0	0	3	3	2	4	4	4	4	4	4	4	4	3	3	1	-3	1	3	3	3	1	1	3	3	3	3	-3	-3	3	3	3	3	3	-3	3	3	3	3	3	3	3	5	5	5	5	5	-3	-3	4	2	2	3	-5	2	-6	1	-5	2	3	1	1	2	3	3	3	3	1	3	3	3	3	3	1	3	1	1	3	3	1	1	3	7	1	3
1299	1	2	2	3	0	1	43	2	40	2	18	2	16	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	1	43	1	3	1	4	2	1	-5	1	2	3	-5	-5	7	-5	2	3	-5	-6	-6	-6	-5	-6	-5	-6	-6	-6	-6	-6	-6	-6	-6	1	2	5	4	1	1	1	2	2	4	1	1	1	1	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1	3	2	3	2	2	2	1	1	3	2	1	2	3	4	4	3	2	3	2	2	1	2	2	1	1	2	1	2	2	2	1	3	2	1	2	1	1	4	1	1	3	2	2	2	2	3	2	1	1	1	1	1	2	2	1	3	2	1	3	2	2	2	3	2	2	1	1	1	-3	2	2	2	2	2	2	7	1	1	-5	3	1	2	2	2	2	2	3	5	6	2	1	1	3	4	1	1	0	3	3	4	3	1	3	1	1	3	3	0	4	0	0	0	3	2	4	2	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	3	3	1	1	2	2	2	2	2	2	2	2	3	1	3	1	3	3	1	1	1	2	2	2	2	1	1	-3	2	1	-3	3	2	3	1	3	1	3	1	3	2	2	2	5	1	2	2	2	2	2	1	2	3	-5	1	-5	2	3	1	3	3	1	1	3	1	3	1	1	1	1	3	1	1	3	3	3	1	1	3	1	6	1	4
91299	1	3	2	3	0	1	43	2	40	2	18	2	16	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	2	18	3	3	2	2	1	-5	1	-5	2	3	-5	-5	8	7	-5	3	-5	-6	-6	-6	-5	-6	-5	-6	-6	-6	-6	-6	-6	-6	-6	1	1	2	3	5	2	2	2	2	5	4	2	2	4	2	-5	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	-3	-3	10	3	1	1	3	1	2	1	5	2	1	3	4	4	3	3	5	1	2	2	2	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	-3	1	1	1	2	1	-5	1	3	3	2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	-3	2	1	1	1	2	2	2	2	2	1	1	7	1	1	-5	1	-3	-3	-3	-3	-3	-3	3	5	6	-3	1	-3	1	0	2	1	2	2	2	0	3	1	0	1	2	4	0	0	3	0	2	2	3	2	3	-3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	3	3	3	2	4	4	-3	4	2	2	-3	1	2	2	3	-3	1	3	3	1	1	3	-3	3	3	1	3	3	2	3	3	3	3	3	1	-3	-3	-3	-3	-3	-3	-3	-3	5	1	-3	-3	5	2	2	2	18	3	-5	1	-5	3	-5	-3	1	-3	3	3	3	1	1	3	3	3	3	3	1	1	3	3	3	1	3	2	2	6	1	4
1300	2	1	2	6	0	1	32	2	32	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	2	32	1	1	4	6	1	-5	6	7	2	4	-5	-5	6	3	1	2	-5	3	1	3	-5	1	1	1	1	1	1	2	2	1	2	2	1	3	3	3	1	2	2	2	3	3	1	1	1	1	5	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	4	1	10	3	3	1	5	4	5	2	4	2	4	2	5	3	3	2	4	5	4	3	3	1	2	1	1	2	1	2	2	1	1	3	1	2	2	1	1	2	1	1	2	3	1	-3	1	1	2	1	1	2	1	1	2	1	1	3	3	1	3	2	1	4	3	3	1	2	1	1	2	2	2	2	2	1	1	4	3	3	4	1	1	2	2	2	1	1	2	5	4	1	1	1	1	2	3	0	3	2	4	3	3	2	2	1	1	1	3	0	2	0	3	3	3	0	3	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	0	0	0	1	1	1	0	4	5	2	4	4	2	2	4	4	4	4	2	3	2	3	1	3	3	3	1	1	3	2	3	3	1	1	1	2	3	2	3	2	3	-3	3	1	3	-3	3	2	4	1	4	5	-3	2	2	1	1	1	2	1	2	1	-5	3	-5	2	3	3	1	3	3	3	3	1	3	3	1	1	1	3	3	3	1	1	3	3	3	8	1	1
1301	1	1	3	6	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	2	51	3	1	3	5	1	-5	-5	7	3	2	-5	-5	-6	-5	5	3	-5	-6	-6	-6	-5	-6	-5	-6	-6	-6	-6	-6	-6	-6	-6	1	1	1	3	3	1	1	1	1	2	3	1	1	2	1	9	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	4	1	10	3	2	1	1	4	4	4	5	5	2	2	5	5	4	-3	4	2	5	-3	3	2	2	2	2	2	2	2	1	2	2	3	2	2	2	1	1	4	1	1	1	1	2	-5	1	3	3	1	2	2	2	0	2	2	2	3	1	1	3	-3	1	4	3	4	1	1	1	1	1	2	2	1	2	1	1	3	2	2	1	3	3	1	2	1	2	1	3	1	4	1	2	2	4	2	2	2	0	3	2	3	3	1	1	1	2	3	3	3	1	0	0	3	-3	1	4	4	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	5	5	-3	2	4	-3	2	5	4	5	4	-3	3	1	3	1	3	-3	3	1	3	2	3	2	3	1	1	3	2	3	2	3	-3	3	3	3	3	3	3	3	-3	2	2	5	4	1	2	3	2	2	1	2	1	4	5	5	3	-5	1	1	-3	3	3	3	3	3	3	3	2	2	3	3	1	1	3	3	3	1	1	3	6	5	2
1302	2	1	2	6	0	1	42	2	37	1	14	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	2	2	37	1	2	1	2	2	1	6	4	2	1	1	3	6	7	7	1	1	2	1	-5	-5	-5	-5	1	2	1	3	2	-3	1	1	1	1	1	2	5	1	2	1	2	4	2	1	1	2	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	1	10	2	3	2	4	5	3	3	3	3	2	3	3	3	4	4	2	4	5	3	3	1	2	2	2	2	2	-3	2	2	2	3	1	1	-3	1	1	4	1	1	1	1	3	1	1	2	2	2	1	1	0	0	1	1	1	2	1	1	3	2	1	3	4	2	-3	1	2	1	1	-3	2	2	2	1	1	5	4	4	1	3	3	1	2	1	1	1	5	3	8	-3	1	1	3	3	2	2	3	0	3	3	2	1	2	2	2	2	3	2	3	0	3	0	2	0	1	3	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	4	3	2	3	4	4	3	4	3	3	3	2	2	1	1	1	1	3	1	1	1	2	2	2	3	1	1	3	2	3	2	1	1	3	3	2	3	2	2	1	2	3	1	5	3	4	3	2	2	1	1	14	3	-5	1	-5	1	3	3	3	3	3	3	3	3	3	1	3	1	3	3	3	1	3	2	2	2	2	2	2	7	1	2
1303	1	1	1	6	0	1	62	2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	62	1	3	3	2	1	-5	-5	2	3	1	3	2	7	-5	7	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	2	1	4	5	1	1	1	1	6	1	1	1	1	2	-5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	4	1	3	3	1	1	1	1	2	1	5	1	1	1	4	4	2	2	-3	5	5	1	4	1	1	1	2	2	2	1	1	2	2	-5	2	1	2	1	1	4	2	1	1	1	1	-5	1	1	2	2	1	1	1	1	1	1	-6	3	2	1	3	2	1	4	4	2	1	1	1	1	1	2	1	2	2	1	1	5	3	3	1	3	1	1	2	2	1	2	3	5	7	2	1	1	3	2	0	1	0	2	0	3	2	1	0	1	1	4	0	0	2	0	0	0	2	0	3	3	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	3	4	3	2	3	2	2	2	4	4	2	2	-6	-6	-6	-6	3	3	3	1	1	2	2	2	3	1	1	3	2	1	2	1	1	2	1	2	1	2	2	1	3	3	2	5	1	4	3	1	1	1	1	6	2	4	5	5	3	-5	-3	2	1	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	1	1	6	2	4
1305	1	1	2	6	0	1	74	2	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	74	1	3	1	3	2	1	-5	1	1	-5	3	5	2	-5	1	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	2	3	4	5	1	2	1	2	6	1	1	2	1	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	-3	-3	10	3	1	1	2	2	5	2	5	5	3	3	3	3	3	2	2	5	5	2	2	1	2	1	2	2	2	2	1	2	2	-5	1	1	2	1	2	2	2	1	1	2	3	-5	2	3	3	1	1	2	-3	-3	-3	-3	-3	3	1	1	3	1	1	-3	-3	4	1	1	2	1	2	2	2	2	2	1	1	4	3	1	-5	1	1	2	2	2	2	2	3	1	8	2	1	-3	2	1	1	0	0	2	4	0	1	1	0	1	1	4	4	3	1	0	3	0	0	1	2	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	5	5	3	4	2	2	2	5	3	3	2	2	2	2	3	1	3	1	3	1	1	2	3	2	2	1	1	3	2	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1	2	3	2	2	1	2	1	1	1	-5	-6	-6	-6	1	3	3	3	3	3	1	3	1	1	3	3	1	3	3	3	3	1	1	3	3	3	2	4
1306	2	1	1	6	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	66	4	1	1	6	1	-5	-5	4	2	1	3	2	6	-5	5	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	2	2	3	2	1	1	1	1	4	3	1	1	1	1	9	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	4	2	9	3	2	1	1	1	2	1	5	2	2	2	2	3	3	3	4	4	2	2	3	1	2	1	2	2	2	1	1	1	2	-5	1	-3	1	1	1	1	2	6	1	-6	1	-5	1	2	2	2	1	1	-3	-3	1	1	-3	3	-3	-3	-3	-3	-3	4	4	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	-5	1	1	2	2	2	2	2	5	3	8	2	2	1	2	2	3	1	1	1	2	3	2	2	4	1	1	0	3	4	4	2	0	3	2	1	2	4	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	5	5	1	2	2	2	-3	5	5	4	4	2	2	2	1	1	1	3	3	1	1	3	3	3	3	1	1	3	2	1	3	3	3	3	3	3	3	3	3	3	5	5	3	5	5	5	5	2	2	1	1	1	2	1	1	-5	1	1	2	1	3	1	3	3	3	3	1	1	3	3	1	1	3	1	3	3	1	3	3	3	8	5	2
1307	1	1	1	6	0	1	61	2	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	61	1	1	1	7	1	-5	-5	6	3	2	-5	-5	5	-5	6	3	-5	2	1	3	-5	3	-5	1	1	3	1	2	2	3	1	1	2	2	4	2	1	2	1	2	5	1	1	1	1	1	9	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	4	1	2	2	3	2	3	-3	4	3	5	4	2	2	3	3	2	-3	4	4	2	2	3	1	2	2	2	2	2	1	2	2	2	3	1	1	1	1	2	2	1	1	1	1	1	-5	1	2	2	2	1	1	1	1	1	1	1	3	-3	-3	-3	2	2	4	4	2	2	2	1	2	1	1	1	2	2	1	1	5	4	4	1	3	3	1	1	1	1	1	6	5	4	1	1	1	2	2	3	2	2	3	3	3	3	0	0	3	2	0	3	3	0	0	3	0	3	0	0	2	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	0	1	1	0	0	1	1	0	4	3	3	4	2	2	2	5	5	4	2	1	2	2	1	-3	3	3	3	1	-3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	5	2	5	5	5	5	1	1	1	1	6	1	3	4	5	2	-3	2	2	3	3	3	3	1	3	3	3	3	3	3	1	1	1	3	3	3	1	3	3	-6	2	1
1308	2	1	1	6	0	0	0	2	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	2	58	3	1	1	6	2	1	-5	6	3	2	-5	-5	8	-5	6	3	-5	2	1	2	-5	1	1	1	1	3	2	2	2	4	1	1	1	1	3	5	1	2	1	2	3	3	1	2	2	1	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	1	2	3	2	2	4	2	4	2	5	3	1	1	5	4	3	3	4	4	4	2	4	1	2	2	2	2	2	1	2	-6	2	3	1	1	1	2	1	3	1	1	2	1	1	-5	1	1	2	2	1	1	1	1	1	1	1	3	1	2	3	1	2	3	3	4	2	-3	1	1	2	2	2	2	2	1	1	5	5	5	1	2	1	2	2	1	1	2	3	8	4	1	1	1	1	1	1	2	1	1	3	0	0	0	0	1	1	4	0	3	2	0	3	3	2	2	2	2	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	5	5	3	3	3	2	2	5	5	2	3	2	2	2	3	1	3	3	3	1	1	2	2	2	3	1	1	3	2	1	2	1	1	3	1	2	1	2	2	3	-3	2	2	5	5	2	2	2	2	-6	1	8	3	-5	1	-5	3	-5	2	1	3	3	3	3	3	1	3	3	3	3	3	3	1	3	3	1	1	1	1	1	7	5	2
1310	2	1	1	4	0	1	50	2	50	1	19	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	2	50	1	2	1	4	1	-5	6	2	3	1	1	3	7	7	7	1	1	2	2	-5	-5	-5	-5	1	1	1	3	2	1	4	-6	1	-6	1	3	3	1	-6	1	1	5	2	1	2	1	2	-5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	4	1	8	3	2	1	2	2	2	2	5	3	1	2	4	3	3	2	4	-3	2	2	3	1	1	1	2	2	2	1	2	1	2	2	1	1	1	1	1	3	1	1	1	1	2	1	1	2	-7	-3	1	1	-3	1	-3	-3	1	3	2	2	3	2	2	-3	-3	3	1	1	2	1	1	1	1	1	2	1	1	3	2	2	5	2	1	1	2	1	2	1	3	2	8	1	2	2	3	2	2	2	2	2	2	3	3	2	0	1	1	0	2	0	4	0	0	0	3	0	4	4	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	2	2	-3	2	2	4	1	4	2	-3	2	2	2	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-3	4	2	5	1	4	1	3	2	2	1	-2	3	-5	-6	-6	3	-5	2	1	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	3	3	1	3	7	1	3
1311	1	1	3	4	0	1	53	2	54	2	24	1	23	2	19	1	14	1	12	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	53	1	1	4	4	1	-5	-5	1	3	3	-5	-5	5	-5	4	3	-5	2	1	3	-5	3	-5	1	1	1	2	1	2	4	1	1	2	3	3	3	1	1	1	1	3	1	1	1	1	1	9	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	3	1	5	2	3	2	2	2	2	2	5	4	2	3	3	4	3	3	2	4	5	2	2	1	2	1	2	2	2	1	2	2	2	3	-3	1	1	1	1	4	1	1	1	1	3	1	1	1	2	2	1	1	1	1	1	1	1	3	-3	1	3	3	1	4	4	3	1	1	1	1	1	2	2	2	2	2	2	5	4	4	1	3	3	1	2	1	1	1	6	2	8	1	1	1	2	2	2	2	2	3	3	3	3	1	3	2	2	3	0	3	3	0	3	4	2	4	3	2	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	4	3	2	4	4	5	2	4	4	4	4	2	2	1	3	1	3	3	3	1	1	3	2	3	3	1	1	3	2	3	3	3	1	3	3	3	3	3	2	3	2	4	2	5	2	2	2	1	1	2	1	6	3	-5	5	5	3	-5	2	3	2	3	3	3	3	3	3	3	3	2	3	1	1	3	3	3	3	1	1	3	8	1	2
1312	2	1	2	4	0	1	56	2	52	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	2	52	1	4	1	1	1	-5	2	2	2	1	1	3	8	7	9	1	1	2	1	-5	-5	-5	-5	1	2	1	4	2	2	4	-6	1	2	1	1	1	2	2	2	2	6	1	1	2	4	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	10	3	2	1	1	1	1	1	-3	1	2	1	5	-6	5	-3	1	4	1	-3	4	1	2	2	2	2	2	2	2	2	2	3	1	1	2	1	1	4	1	1	2	1	2	1	-3	-3	-3	1	1	1	-3	0	-3	-3	1	3	1	1	3	1	1	5	5	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	-5	2	1	2	2	2	2	2	3	5	8	1	-3	-3	2	0	2	2	0	2	1	2	2	1	2	1	1	3	0	2	2	0	0	2	2	0	1	4	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	-3	-3	-3	2	2	2	2	2	4	-3	5	2	3	1	3	2	3	3	3	1	1	2	2	2	2	1	1	3	2	1	2	1	1	2	1	2	1	2	2	1	2	4	1	1	1	-3	-3	5	2	2	3	-5	1	1	1	-5	3	-5	1	3	2	1	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	2	3	5	1	4
1313	1	1	2	6	0	1	53	2	33	1	11	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	1	53	2	2	2	4	1	-5	-5	2	3	3	-5	-5	8	-5	7	3	-5	2	1	2	-5	2	-5	1	1	2	1	1	-3	4	1	1	2	3	4	1	1	2	2	2	4	2	1	2	2	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	-3	2	10	3	3	3	3	1	1	1	2	1	1	1	3	4	3	2	1	2	2	2	2	1	1	1	2	2	1	2	2	1	2	3	2	1	2	1	1	4	2	1	1	1	2	1	1	-6	2	2	1	1	-6	1	1	1	1	3	2	2	2	-6	2	3	-3	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	-5	2	2	2	2	2	2	2	3	5	6	-3	-3	1	2	1	1	1	0	2	3	3	2	1	4	1	1	4	2	4	3	0	3	4	3	0	3	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	4	3	2	2	2	2	5	5	4	2	2	3	2	2	1	1	3	3	3	1	1	2	3	3	3	1	1	3	2	1	3	2	2	3	1	2	3	2	-3	1	3	-3	1	5	2	5	-3	3	1	1	1	1	3	-5	2	4	2	3	1	2	3	1	1	3	1	1	3	3	3	3	3	1	1	1	3	1	1	3	3	3	5	1	4
1314	2	2	1	3	0	1	45	2	43	2	20	2	18	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	2	43	1	2	3	2	1	-5	4	1	2	3	-5	-5	8	6	4	2	-5	2	-6	3	-5	3	-5	1	1	-6	2	2	2	4	1	1	2	3	4	3	1	2	2	2	5	1	1	1	2	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	10	3	3	1	2	2	2	1	2	4	2	3	5	4	3	-3	4	4	2	2	4	1	2	2	2	2	2	2	2	1	2	3	2	1	2	1	3	3	1	2	2	2	2	1	1	4	3	2	1	1	1	1	-3	-3	1	3	1	1	3	2	1	3	3	2	1	1	1	1	2	2	2	2	2	2	2	5	4	4	-6	3	1	2	2	2	2	2	3	7	-6	2	2	1	2	0	2	0	0	2	0	0	3	2	0	2	1	0	3	0	0	0	3	0	3	2	3	4	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	3	4	3	2	4	4	4	5	5	2	-3	3	2	1	3	2	3	3	3	1	1	2	3	2	3	1	1	3	2	2	3	1	1	3	1	2	1	2	2	3	2	5	2	2	1	5	4	4	1	2	1	6	3	-5	1	-5	3	-5	2	1	1	1	3	3	3	1	3	3	3	3	3	1	1	3	3	1	1	3	3	3	8	1	3
91314	2	3	1	3	0	1	45	2	43	2	20	2	18	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	518	4	2	16	3	2	1	4	2	1	3	-5	3	3	-5	-5	9	6	-5	2	-5	2	3	1	1	1	1	1	1	3	1	2	2	1	2	1	1	3	1	1	2	2	2	2	4	4	2	2	4	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	-3	1	-3	1	2	2	3	2	2	2	2	2	2	2	2	2	4	4	3	3	4	2	5	1	2	2	1	1	2	2	2	2	2	2	2	-6	1	1	2	1	1	1	1	1	1	2	3	-5	1	2	3	1	1	1	1	1	1	1	1	3	3	1	3	2	1	4	4	1	-3	1	1	1	1	2	2	2	2	2	1	1	4	1	-5	2	1	1	2	2	2	2	5	8	6	-3	1	-3	3	3	2	3	0	4	0	3	0	2	0	4	2	0	3	0	0	0	4	4	0	2	4	4	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	0	1	0	0	1	0	0	0	2	2	2	2	4	2	4	5	5	4	4	2	2	2	3	3	3	3	3	1	1	3	3	3	3	3	1	3	2	3	3	3	3	3	1	3	3	3	3	3	1	2	2	-3	4	4	2	5	2	2	3	-5	2	-6	1	-5	2	3	-3	2	2	1	3	3	1	1	1	3	3	3	1	1	3	1	3	1	1	1	3	2	8	1	3
1315	1	1	1	6	0	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	56	0	0	8	1	1	518	5	1	74	4	1	5	7	2	5	-5	7	1	-5	3	2	5	-5	5	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	1	5	1	1	1	1	2	1	5	-7	2	2	3	2	-5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	10	3	1	1	1	5	2	1	5	4	1	2	2	3	3	2	1	5	2	3	4	1	2	1	1	2	2	-3	2	2	2	-5	1	1	1	2	1	2	1	1	1	3	-3	-5	1	2	2	1	1	1	-3	-3	1	-3	-3	3	1	1	3	1	2	3	4	2	1	1	1	1	2	2	2	2	2	1	1	2	1	1	-5	1	1	2	2	2	2	2	3	7	8	2	1	2	2	3	1	3	4	3	3	0	4	1	3	1	2	3	3	3	2	2	2	3	3	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	-3	-3	2	2	2	2	5	5	4	4	2	1	2	2	3	1	3	3	3	1	3	3	3	3	3	1	1	3	2	3	3	3	1	3	3	3	3	3	3	3	1	1	1	5	1	1	1	5	2	2	1	8	1	2	1	-5	-3	3	1	3	1	2	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	1	3	7	6	2
